Date,Open,High,Low,Close,Adj Close,Volume
2024-06-17,66636.515625,67188.320313,65094.964844,66490.296875,66490.296875,30006354476
2024-06-18,66490.976563,66556.703125,64066.957031,65140.746094,65140.746094,39481285950
2024-06-19,65146.660156,65695.351563,64693.300781,64960.296875,64960.296875,21103423504
2024-06-20,64960.296875,66438.960938,64547.847656,64828.656250,64828.656250,25641109124
2024-06-21,64837.988281,65007.546875,63378.894531,64096.199219,64096.199219,26188171739
2024-06-22,64113.863281,64475.468750,63929.757813,64252.578125,64252.578125,9858198793
2024-06-23,64248.964844,64491.703125,63180.796875,63180.796875,63180.796875,11170471802
2024-06-24,63173.351563,63292.527344,58601.699219,60277.414063,60277.414063,43152133651
2024-06-25,60266.281250,62258.261719,60239.750000,61804.640625,61804.640625,29201215431
2024-06-26,61789.675781,62434.136719,60695.187500,60811.277344,60811.277344,22506003064
2024-06-27,60811.226563,62293.863281,60585.332031,61604.800781,61604.800781,21231745045
2024-06-28,61612.804688,62126.097656,59985.402344,60320.136719,60320.136719,24952866877
2024-06-29,60319.875000,61097.621094,60300.964844,60887.378906,60887.378906,12652903396
2024-06-30,60888.445313,62892.828125,60632.949219,62678.292969,62678.292969,17333226409
2024-07-01,62673.605469,63777.226563,62495.511719,62851.980469,62851.980469,25468379421
2024-07-02,62844.410156,63203.359375,61752.746094,62029.015625,62029.015625,20151616992
2024-07-03,62034.332031,62187.703125,59419.386719,60173.921875,60173.921875,29756701685
2024-07-04,60147.136719,60399.675781,56777.804688,56977.703125,56977.703125,41149609230
2024-07-05,57022.808594,57497.152344,53717.375000,56662.375000,56662.375000,55417544033
2024-07-06,56659.074219,58472.546875,56038.960938,58303.539063,58303.539063,20610320577
2024-07-07,58239.429688,58371.121094,55793.324219,55849.109375,55849.109375,20553359505
2024-07-08,55849.574219,58131.335938,54321.019531,56705.097656,56705.097656,39766159899
2024-07-09,56704.597656,58239.195313,56316.875000,58009.226563,58009.226563,27849512607
2024-07-10,58033.882813,59359.433594,57178.414063,57742.496094,57742.496094,26175260526
2024-07-11,57729.890625,59299.433594,57120.378906,57344.914063,57344.914063,28707803842
2024-07-12,57341.195313,58532.554688,56590.175781,57899.464844,57899.464844,25604805221
2024-07-13,57908.738281,59787.078125,57796.441406,59231.953125,59231.953125,17080061806
2024-07-14,59225.250000,61329.527344,59225.250000,60787.792969,60787.792969,22223416061
2024-07-15,60815.457031,64870.152344,60704.929688,64870.152344,64870.152344,38094526099
2024-07-16,64784.417969,65354.339844,62487.968750,65097.148438,65097.148438,41617346768
2024-07-17,65091.832031,66066.734375,63896.085938,64118.792969,64118.792969,32525071311
2024-07-18,64104.738281,65104.660156,63246.164063,63974.066406,63974.066406,27239305337
2024-07-19,63972.324219,67442.640625,63329.343750,66710.156250,66710.156250,37003855410
2024-07-20,66709.921875,67610.734375,66299.617188,67163.648438,67163.648438,19029581250
2024-07-21,67164.914063,68372.906250,65842.296875,68154.523438,68154.523438,26652190004
2024-07-22,68152.976563,68480.062500,66611.296875,67585.250000,67585.250000,42649109453
2024-07-23,67584.804688,67779.015625,65484.460938,65927.671875,65927.671875,35605668666
2024-07-24,65927.859375,67113.984375,65146.996094,65372.132813,65372.132813,27470942309
2024-07-25,65375.875000,66112.421875,63473.472656,65777.226563,65777.226563,38315761670
2024-07-26,65771.812500,68207.601563,65743.765625,67912.062500,67912.062500,30488630457
2024-07-27,67911.812500,69398.507813,66705.218750,67813.335938,67813.335938,34691905492
2024-07-28,67808.656250,68301.851563,67085.828125,68255.867188,68255.867188,18043166945
2024-07-29,68259.054688,69987.539063,66532.593750,66819.914063,66819.914063,40780682628
2024-07-30,66819.054688,66987.671875,65323.191406,66201.015625,66201.015625,31380492109
2024-07-31,66201.273438,66810.210938,64532.046875,64619.250000,64619.250000,31292785994
2024-08-01,64625.839844,65593.242188,62248.941406,65357.500000,65357.500000,40975554494
2024-08-02,65353.500000,65523.222656,61184.894531,61415.066406,61415.066406,43060875727
2024-08-03,61414.808594,62148.371094,59836.527344,60680.093750,60680.093750,31753030589
2024-08-04,60676.093750,61062.988281,57210.804688,58116.976563,58116.976563,31758917219
2024-08-05,58110.296875,58268.828125,49121.238281,53991.457031,53991.457031,108991085584
2024-08-06,54004.316406,56988.296875,54004.316406,55968.312500,55968.312500,49311297536
